date,year,month,period,url,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,international_matched_label,asia_matched_label,europe_matched_label,americas_matched_label,oceania_matched_label,other_markets_matched_label,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2012-01-01,2012,1,t1,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t1,593408,358586.0,20863.0,43402.0,28591.0,141966.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.29363746837926,,,12.789923798677174,,,9.945732534129874,,,10.678260801976018,,,10.260847261969445,,,11.863342871294156,,
2012-02-01,2012,2,t2,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t2,681849,376639.0,42793.0,48585.0,29527.0,184305.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.432563504686678,14.90391096850734,,12.839042447995299,5.034496606114014,,10.66412981679203,105.1143172122897,,10.79107012027354,11.941845997880286,,10.293060377975431,3.273757476128858,,12.124347272969782,29.823337982333808,
2012-03-01,2012,3,t3,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t3,561877,300401.0,41389.0,36875.0,23212.0,160000.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.239038243712255,-17.595098034902158,,12.612873527761383,-20.241663768223685,,10.630770424025688,-3.2809104292758184,,10.51528909364212,-24.102089122157043,,10.052424665310498,-21.387204931080028,,11.982929094215963,-13.187379615311578,
2012-04-01,2012,4,t4,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t4,620000,333001.0,42408.0,42600.0,27597.0,174394.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.337474757021274,10.344434814025139,,12.715900771961074,10.85216094487036,,10.655092302667642,2.462006813404538,,10.659609532257463,15.525423728813559,,10.225462350145268,18.891090815095634,,12.069072386195472,8.996249999999995,
2012-05-01,2012,5,t5,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t5,615523,281506.0,28485.0,31197.0,19164.0,96397.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.33022759190198,-0.722096774193548,,12.547909040721946,-15.463917525773196,,10.257132911914496,-32.83106960950764,,10.348077215328342,-26.767605633802816,,9.860788798003012,-30.55766931188173,,11.47623035978244,-44.72458914870925,
2012-06-01,2012,6,t6,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t6,417429,259845.0,9551.0,36298.0,19364.0,92371.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,12.941869748930987,-32.183037839365866,,12.467840578381152,-7.694685015594693,,9.164401140034737,-66.4700719677023,,10.499517922316345,16.35093117928006,,9.871170951059584,1.0436234606553851,,11.43356835555382,-4.176478521115801,
2012-07-01,2012,7,t7,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t7,466000,278142.0,15584.0,34370.0,20643.0,117261.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.051940913107783,11.635751229550406,,12.535887053630177,7.041505512901924,,9.654000025882317,63.1661606114543,,10.44493936984388,-5.311587415284591,,9.935131557870589,6.605040280933694,,11.672157498539152,26.945686416732517,
2012-08-01,2012,8,t8,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t8,525292,324759.0,20993.0,30601.0,19860.0,129079.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.171709577433356,12.7236051502146,,12.690838647774697,16.760144099057307,,9.951944327804322,34.708675564681734,,10.328787967145063,-10.965958684899624,,9.896462937599164,-3.793053335271035,,11.768179899002329,10.078372178303097,
2012-09-01,2012,9,t9,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t9,460238,289681.0,10470.0,28913.0,22191.0,108983.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.039499025968894,-12.384350037693325,,12.576535596518625,-10.801240304348758,,9.256269303864583,-50.126232553708384,,10.272046599948313,-5.5161596026273685,,10.007442080255977,11.737160120845914,,11.598947185744988,-15.568760216611533,
2012-11-01,2012,11,t11,https://vietnamtourism.gov.vn/statistic/international?year=2012&period=t11,655701,393302.0,21840.0,36673.0,24224.0,179662.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác,13.39346017133824,42.469982921879556,,12.882333043583682,35.770727110166,,9.991498429858842,108.59598853868194,,10.509796068463533,26.839138103967073,,10.095099156237175,9.161371727276823,,12.09883258685972,64.8532339906224,
