date,target,model,actual,forecast,lower,upper
2023-01-01,international_arrivals,Holt-Winters,850987,857771.551344606,621916.7470655395,1183071.5891922978
2023-02-01,international_arrivals,Holt-Winters,932969,952808.2443381228,690821.9361753251,1314149.8596655629
2023-03-01,international_arrivals,Holt-Winters,927711,903090.0568130098,654774.3738527661,1245576.6188826386
2023-04-01,international_arrivals,Holt-Winters,921890,1097507.9309806633,795734.6699644855,1513725.2454002234
2023-05-01,international_arrivals,Holt-Winters,916257,1148517.7240759,832718.6950706419,1584079.9183745747
2023-06-01,international_arrivals,Holt-Winters,975010,1197072.9570525198,867923.0714555813,1651049.1674143742
2023-07-01,international_arrivals,Holt-Winters,1038563,1435749.1534045038,1040972.3214622047,1980240.5779687136
2023-08-01,international_arrivals,Holt-Winters,1217421,1744363.5485337728,1264729.4050534347,2405893.4482706822
2023-09-01,international_arrivals,Holt-Winters,1054449,1800177.2687776254,1305196.4586427854,2482873.882751309
2023-10-01,international_arrivals,Holt-Winters,1112526,2043716.4974230593,1481771.5905932388,2818772.5749060772
2023-11-01,international_arrivals,Holt-Winters,1233371,2484266.0406673886,1801186.6358068916,3426395.487355197
2023-12-01,international_arrivals,Holt-Winters,1371135,2743437.9854875957,1989096.076963536,3783855.424271802
2024-01-01,international_arrivals,Holt-Winters,1451273,3059458.6945512067,2218223.0176718174,4219723.368252332
2024-02-01,international_arrivals,Holt-Winters,1531411,3398149.980681177,2463786.9823419075,4686859.446033477
2024-03-01,international_arrivals,Holt-Winters,1599074,3174070.475702242,2301320.8844605978,4377800.35489751
2024-04-01,international_arrivals,Holt-Winters,1556533,3889177.4702953654,2819800.4437138964,5364103.487951556
2024-05-01,international_arrivals,Holt-Winters,1383703,4047951.4631330976,2934917.5806595813,5583090.699330263
2024-06-01,international_arrivals,Holt-Winters,1249237,4195119.099513184,3041619.671149008,5786069.9764780495
2024-07-01,international_arrivals,Holt-Winters,1346404,5066269.529040915,3673236.6098168357,6987594.230192629
2024-08-01,international_arrivals,Holt-Winters,1446809,6204164.307228348,4498253.268207837,8557022.572102034
2024-09-01,international_arrivals,Holt-Winters,1274804,6361151.410803402,4612074.843000791,8773545.236928232
2024-10-01,international_arrivals,Holt-Winters,1419833,7235370.196411161,5245916.455626549,9979301.48562811
2024-11-01,international_arrivals,Holt-Winters,1586220,8863580.291298341,6426430.223149129,12224991.613118973
2024-12-01,international_arrivals,Holt-Winters,1747240,9782600.53007308,7092754.580130002,13492539.753043622
2025-01-01,international_arrivals,Holt-Winters,1853008,10912331.481490834,7911852.15600976,15050708.230371188
2025-02-01,international_arrivals,Holt-Winters,1958776,12119357.026790852,8786991.229555951,16715484.39115121
2025-03-01,international_arrivals,Holt-Winters,2054309,11155834.690815033,8088401.172592947,15386557.24328963
2025-04-01,international_arrivals,Holt-Winters,2007756,13781860.675883856,9992369.118118163,19008473.51055869
2025-05-01,international_arrivals,Holt-Winters,1962704,14267007.556252945,10344118.915852971,19677606.789518833
2025-06-01,international_arrivals,Holt-Winters,1916151,14701714.006164888,10659297.497882012,20277170.682403006
2025-07-01,international_arrivals,Holt-Winters,1871100,17877138.830293313,12961600.336064765,24656839.006857652
2025-08-01,international_arrivals,Holt-Winters,1824547,22066303.084262773,15998902.519458402,30434695.83081303
2025-09-01,international_arrivals,Holt-Winters,1777993,22477923.687283617,16297342.991230395,31002418.833746385
2025-10-01,international_arrivals,Holt-Winters,1732942,25615383.515827272,18572119.774813384,35329724.37280702
2025-11-01,international_arrivals,Holt-Winters,1879647,31624252.110771067,22928776.281145085,43617387.57022154
2025-12-01,international_arrivals,Holt-Winters,2021619,34882972.983979255,25291471.898507673,48111941.01648253
2023-01-01,international_arrivals,SARIMA,850987,793144.834260556,568060.7623274463,1107414.5053369945
2023-02-01,international_arrivals,SARIMA,932969,793144.834260556,443199.1634574058,1419404.141485171
2023-03-01,international_arrivals,SARIMA,927711,793144.834260556,373780.9300594648,1683014.5080278034
2023-04-01,international_arrivals,SARIMA,921890,793144.834260556,325488.1627917026,1932723.8284754038
2023-05-01,international_arrivals,SARIMA,916257,793144.834260556,288805.28166991967,2178210.607772712
2023-06-01,international_arrivals,SARIMA,975010,793144.834260556,259538.7023216202,2423833.988869417
2023-07-01,international_arrivals,SARIMA,1038563,793144.834260556,235432.01638773372,2672018.6054821587
2023-08-01,international_arrivals,SARIMA,1217421,793144.834260556,215121.17434449,2924299.4327783515
2023-09-01,international_arrivals,SARIMA,1054449,793144.834260556,197715.24988187687,3181741.0568483826
2023-10-01,international_arrivals,SARIMA,1112526,793144.834260556,182599.15174607557,3445134.9970618095
2023-11-01,international_arrivals,SARIMA,1233371,793144.834260556,169330.07767775946,3715103.286678707
2023-12-01,international_arrivals,SARIMA,1371135,793144.834260556,157578.63926109695,3992157.3829043214
2024-01-01,international_arrivals,SARIMA,1451273,793144.834260556,147093.2625960627,4276733.801477619
2024-02-01,international_arrivals,SARIMA,1531411,793144.834260556,137677.58496907126,4569216.755621658
2024-03-01,international_arrivals,SARIMA,1599074,793144.834260556,129175.52012101906,4869953.126759992
2024-04-01,international_arrivals,SARIMA,1556533,793144.834260556,121461.05815359653,5179262.700961227
2024-05-01,international_arrivals,SARIMA,1383703,793144.834260556,114431.10131880552,5497445.36987011
2024-06-01,international_arrivals,SARIMA,1249237,793144.834260556,108000.30994295633,5824786.321876966
2024-07-01,international_arrivals,SARIMA,1346404,793144.834260556,102097.31656454921,6161559.865449364
2024-08-01,international_arrivals,SARIMA,1446809,793144.834260556,96661.89398251366,6508032.298932676
2024-09-01,international_arrivals,SARIMA,1274804,793144.834260556,91642.80252785192,6864464.101509952
2024-10-01,international_arrivals,SARIMA,1419833,793144.834260556,86996.13007592407,7231111.631806949
2024-11-01,international_arrivals,SARIMA,1586220,793144.834260556,82683.99551059598,7608228.463434477
2024-12-01,international_arrivals,SARIMA,1747240,793144.834260556,78673.52430621395,7996066.448805545
2025-01-01,international_arrivals,SARIMA,1853008,793144.834260556,74936.03060811947,8394876.576849842
2025-02-01,international_arrivals,SARIMA,1958776,793144.834260556,71446.35794267469,8804909.67249792
2025-03-01,international_arrivals,SARIMA,2054309,793144.834260556,68182.3431491893,9226416.973346343
